Home,H Score,H Win%,Away,A Score,A Win%,Spread,Total,Game Score,H Conf,A Conf,Conf_H,W_H,L_H,DIII W_H,DIII L_H,ConfW_H,ConfL_H,NPI_H,Rank_H,SOS_H,QWB_H,Pool A_H,Pool C_H,Playoff_H,Top 8%_H,Change_H,Bowl_H,R40W%_H,R32W%_H,R16W%_H,R8W%_H,R4W%_H,R2W%_H,Wk5_Lev_H,Wk6_Lev_H,Wk7_Lev_H,Wk8_Lev_H,Wk9_Lev_H,Wk10_Lev_H,Wk11_Lev_H,Conf_A,W_A,L_A,DIII W_A,DIII L_A,ConfW_A,ConfL_A,NPI_A,Rank_A,SOS_A,QWB_A,Pool A_A,Pool C_A,Playoff_A,Top 8%_A,Change_A,Bowl_A,R40W%_A,R32W%_A,R16W%_A,R8W%_A,R4W%_A,R2W%_A,Wk5_Lev_A,Wk6_Lev_A,Wk7_Lev_A,Wk8_Lev_A,Wk9_Lev_A,Wk10_Lev_A,Wk11_Lev_A
UW-Whitewater,25.0705240743423,0.6314613896621872,UW-La Crosse,19.761441845342308,0.36853861033781277,5.309082228999991,44.831965919684606,38.248222030922,WIAC,WIAC,WIAC,8.2029,1.7971,7.2029,1.7971,5.2029,1.7971,70.02651008,18.6979,62.35448103,1.351939342,0.2944,0.514,0.8084,0.3469,-0.0209,0.0894,0.8014,0.6633,0.4641,0.288,0.1534,0.0725,0.317578462,0.33559959,0.414637075,0.295003691,0.260358184,0.443725885,0.292328856,WIAC,6.6396,2.3604,5.6396,2.3604,4.6396,2.3604,66.98464774,28.2011,62.6199516,1.182221469,0.1518,0.4789,0.6307,0.218,-0.0232,0.1916,0.6214,0.4996,0.3207,0.1847,0.0919,0.0403,0.365602056,0.386733035,0.387459089,0.454425956,0.464312021,0.392899413,0.372904279
UW-Oshkosh,30.912354239874986,0.4096401117287391,UW-River Falls,34.5268284416551,0.5903598882712608,-3.614474201780112,65.43918268153008,36.08934122456783,WIAC,WIAC,WIAC,5.7907,4.2093,4.7907,4.2093,3.7907,3.2093,60.43040034,54.9581,63.81888445,0.736285647,0.0677,0.2183,0.286,0.0381,-0.0146,0.3269,0.2831,0.1946,0.117,0.0535,0.0255,0.0096,0.378958178,0.317212718,0.269198057,0.400889794,0.417809682,0.277995036,0.422754664,WIAC,7.8702,2.1298,7.8702,2.1298,4.8702,2.1298,68.97790731,20.8427,61.91006343,1.258270007,0.2437,0.5551,0.7988,0.2844,-0.0132,0.0573,0.7888,0.617,0.4085,0.2321,0.1153,0.0516,0.29440853,0.296672755,0.334159379,0.39240518,0.288187164,0.299792793,0.304872765
Bethel,30.17718630902572,0.40253300813237575,St. John's,33.94517489984445,0.5974669918676244,-3.7679885908187316,64.12236120887017,34.3394935811846,MIAC,MIAC,MIAC,9.2363,0.7637,9.2363,0.7637,8.2363,0.7637,69.67165986,16.2412,56.08389452,0.529691395,0.4047,0.4905,0.8952,0.3423,-1e-4,0,0.8914,0.5818,0.2792,0.1093,0.0399,0.014,0.161751349,0.796793587,0.663521818,0.645458183,0.576948642,0.638955647,0.490519663,MIAC,9.4707,0.5293,9.4707,0.5293,8.4707,0.5293,71.58882079,12.1877,56.35072612,0.722187629,0.5823,0.3623,0.9446,0.5193,0.0218,0,0.9431,0.7365,0.4389,0.2227,0.0985,0.0356,0.122050695,0.944788958,0.467223607,0.542645721,0.506165271,0.645245245,0.589493343
North Central Ill.,44.607859206469094,0.9310105430607946,Wheaton Ill.,21.2992037010737,0.0689894569392055,23.308655505395393,65.9070629075428,26.811444289849113,CCIW,CCIW,CCIW,9.9169,0.0831,9.9169,0.0831,8.9169,0.0831,75.94864813,5.0029,58.67849075,1.304414531,0.9248,0.0748,0.9996,0.9144,0.0017,3e-4,0.9996,0.9666,0.8918,0.7715,0.6043,0.4603,0.005174644,0.9996,-4.0004e-4,-4.0004e-4,-4.00882e-4,-4.0004e-4,0.121212121,CCIW,7.8063,2.1937,7.8063,2.1937,7.8063,1.1937,64.82007259,29.1689,57.21031902,0.323496647,0.0716,0.6831,0.7547,0.0325,0.0589,0.1863,0.7398,0.4521,0.2683,0.1259,0.0542,0.0224,0.246221681,0.768246044,0.756288205,0.865550653,0.755304243,0.755002001,0.725541534
John Carroll,31.086677540001638,0.736266339353373,Wabash,21.38645067889935,0.263733660646627,9.700226861102287,52.47312821890099,18.263800982241907,NCAC,NCAC,NCAC,7.8537,2.1463,7.8537,2.1463,6.8537,1.1463,64.21165021,34.4121,56.73423619,0.485657279,0.3688,0.2414,0.6102,0.0599,0.0519,0.2394,0.5635,0.2932,0.1344,0.0466,0.017,0.0057,0.556194108,0.488971254,0.47163827,0.486367281,0,0.487447156,0.457280343,NCAC,8.4001,1.5999,8.4001,1.5999,6.4001,1.5999,64.98449048,32.2205,54.81605245,0.384442387,0.187,0.2772,0.4642,0.0998,0.0882,0.301,0.4552,0.2309,0.0699,0.0198,0.0048,4e-4,0.588542472,0.420064106,0.384579068,0,0.46333792,0.4642,0.655473412
Rowan,26.667293929183153,0.31478068710180473,Christopher Newport,34.07845119212505,0.6852193128981952,-7.411157262941899,60.745745121308204,17.405697956244374,NJAC,NJAC,NJAC,7.0858,1.9142,7.0858,1.9142,5.0858,1.9142,60.52864688,52.5528,52.46277335,0.33234791,0.124,0.1514,0.2754,0.021,-0.076,0,0.2154,0.0586,0.0177,0.0025,4e-4,1e-4,0.517086576,0.257850708,0.256068899,0.557395908,0.293248139,0.275868977,0.26629551,NJAC,8.9202,1.0798,8.9202,1.0798,5.9202,1.0798,69.76256827,16.6847,58.04439529,0.885832612,0.3539,0.4923,0.8462,0.3036,0.2618,0,0.8117,0.4621,0.1822,0.0606,0.0171,0.0036,0.337660354,0.446423212,0.482234981,0.437171677,0.524530948,0.242148524,0.397211084
Cortland,36.033065327889915,0.7680478252717127,Utica,24.638032667911546,0.23195217472828727,11.39503265997837,60.67109799580146,13.68781449116329,E8,E8,E8,8.0538,1.9462,8.0538,1.9462,6.4662,0.5338,63.87639579,34.7497,54.44268659,0.455465683,0.6715,0.0236,0.6951,0.0014,0.002,0,0.5861,0.2782,0.0988,0.0357,0.0087,0.0025,0.608384179,0,0.238604343,0.316180935,0.288734632,0.706101656,0.147153853,E8,7.1832,2.8168,7.1832,2.8168,5.1832,1.8168,60.9150231,49.7028,53.34545011,0.355919736,0.1186,0.1533,0.2719,0.0031,0.0117,0,0.2116,0.051,0.0126,0.0019,6e-4,1e-4,0.591464215,0.257897668,0,0.294142759,0.26596549,0.243315508,0.486203317
Muhlenberg,31.698501064220665,0.6413171673395708,Ursinus,26.174358541032753,0.3586828326604292,5.524142523187912,57.87285960525342,12.709958150079416,CC,CC,CC,7.3283,2.6717,7.3283,2.6717,4.3283,2.6717,62.89458377,42.5735,58.08726683,0.654885439,0.0586,0.3828,0.4414,0.067,-0.0036,0.4203,0.4059,0.1428,0.0375,0.0076,0.0015,1e-4,0.448611712,0.46826874,0.379830288,0.513377856,0.443484848,0.383590967,0.413458245,CC,6.831,3.169,6.831,3.169,3.831,3.169,58.11391567,68.062,52.65721447,0.290528253,0.0185,0.102,0.1205,0.0081,-0.0704,0.7098,0.1027,0.0382,0.0075,0.0017,5e-4,1e-4,0.214140364,0.116429072,0.403645877,0.178115828,0.127203631,0.148841248,0.331331134
Hobart,19.747189815076702,0.6172010558925832,RPI,15.045639092016842,0.3827989441074167,4.70155072305986,34.79282890709354,12.602707523185533,LL,LL,LL,6.0871,3.9129,6.0871,3.9129,5.0871,1.9129,54.75250873,88.055,51.14652961,0.243765716,0.0531,0,0.0531,0,-0.1736,0,0.0215,0.0022,6e-4,1e-4,1e-4,1e-4,0.08237881,0.081645995,0,0.051355749,0.060852354,0.053222412,0.043428936,LL,7.109,2.891,7.109,2.891,5.109,1.891,58.50665304,64.522,51.45056579,0.25943767,0.1617,0.0065,0.1682,1e-4,0.0252,0,0.1145,0.0313,0.0057,0.0013,0,0,0.224938121,0.144711989,0,0.096907099,0.137110667,0.531303597,0.202278422
Ohio Northern,22.083217019095482,0.41671867151697317,Marietta,25.258107761799483,0.5832813284830269,-3.174890742704001,47.341324780894965,9.644054748989703,OAC,OAC,OAC,5.7165,4.2835,5.7165,4.2835,5.1519,2.8481,54.56359783,89.7436,52.97362746,0.182208031,0.007,0.0393,0.0463,2e-4,-0.0303,0.4309,0.0293,0.0042,9e-4,1e-4,0,0,0.100450432,0.071393493,0.051699971,0.483893832,0.075496313,0.147906344,0.048283641,OAC,7.2373,2.7627,7.2373,2.7627,5.2841,2.7159,61.28776068,49.154,55.00171855,0.342631753,0.0251,0.2965,0.3216,0.0172,-0.1261,0.159,0.2511,0.0712,0.0173,0.0028,6e-4,1e-4,0.3828198,0.357027121,0.338961817,0.487165262,0.308821843,0.508850353,0.310489902
East Texas Baptist,11.992423494363237,0.17666327823000294,Mary Hardin-Baylor,26.232159873588643,0.8233367217699971,-14.239736379225405,38.22458336795188,9.316360353331739,ASC,ASC,ASC,6.0391,3.9609,5.0391,3.9609,2.0391,3.9609,54.56508809,90.1445,53.23435668,0.207795749,0.0293,0.0055,0.0348,0.001,2e-4,0,0.0266,0.0075,0.0022,5e-4,0,0,0.139176969,0.037311257,0.130549325,0,0.165058379,0.036106522,0.156571317,ASC,6.4862,3.5138,4.6782,2.3218,4.6782,1.3218,61.59893793,47.8212,58.20437393,0.487464393,0.5254,0.0323,0.5577,0.0026,-0.0535,0,0.4844,0.2489,0.1119,0.0482,0.0194,0.0069,0.35123054,0.535997711,0.137804249,0.363769525,0.38956044,0.592093502,0.305962142
Cal Lutheran,21.814931374709026,0.5711204543216403,Claremont-Mudd-Scripps,18.853104831575635,0.4288795456783596,2.961826543133391,40.66803620628466,8.352135577475142,SCIAC,SCIAC,SCIAC,6.3992000000000004,2.6008,6.3992000000000004,2.6008,4.3992000000000004,2.6008,57.37977696,73.661,49.65444442,0.153058113,0.1459,0.0519,0.1978,0.0137,0.1033,0,0.1465,0.0307,0.004,1e-4,0,0,0.272828419,0.177391427,0.362578724,0.217876585,0.305511226,0.305484916,0,SCIAC,5.6121,3.3879,5.6121,3.3879,3.6121,3.3879,55.30385146,85.2701,50.54401237,0.14778991,0.0479,0.0253,0.0732,0,-0.184,0,0.058,0.0098,0.0022,4e-4,1e-4,0,0.140102344,0.092629234,0.074412931,0.241830198,0.118194497,0.114081954,0
UW-Eau Claire,25.77175896139813,0.23927230060990645,UW-Stout,36.723394720139396,0.7607276993900935,-10.951635758741265,62.49515368153753,8.222781795050192,WIAC,WIAC,WIAC,3.7315,6.2685,3.7315,6.2685,0.7315,6.2685,49.48329491,125.9287,57.22128507,0.132186314,0,5e-4,5e-4,0,-3e-4,0.0166,4e-4,1e-4,0,0,0,0,0.002516356,0.006003918,0.00794306,0.005899653,0.001395089,0.024288577,0.00427348,WIAC,4.6655,5.3345,4.6655,5.3345,2.6655,4.3345,55.46670491,83.5879,60.91320986,0.279759204,0.0111,0.0552,0.0663,0.0015,0.005,0.2431,0.0617,0.0315,0.0148,0.0069,0.0032,0.0012,0.074575657,0.132212094,0.241550646,0.072142598,0.233608309,0.244710436,0.180834862
Washington U.,36.23093345425151,0.8226667780533367,Illinois Wesleyan,21.8723271113476,0.17733322194666337,14.358606342903911,58.103260565599115,6.167588255776927,CCIW,CCIW,CCIW,7.8035,2.1965,7.8035,2.1965,6.8035,2.1965,62.053244,43.4059,52.71260305,0.139619573,0.0029,0.1685,0.1714,0,-0.0844,0.5979,0.162,0.0798,0.0255,0.0102,0.0035,6e-4,0.19945236,0.158373403,0.171777911,0.772196783,0.161884135,0.179457648,0.178741652,CCIW,5.4388,4.5612,5.4388,4.5612,5.4388,3.5612,54.30084632,90.4375,54.22543677,0.106905325,7e-4,0.007,0.0077,1e-4,-0.0015,0.1549,0.006,7e-4,1e-4,0,0,0,0.04321135,0.107920705,0.008153325,0.009003742,0.011495969,0.01057547,0.29630812
Gustavus Adolphus,23.69894900263318,0.43899588331310163,Carleton,26.0130368759671,0.5610041166868984,-2.314087873333918,49.71198587860028,5.6750607735141125,MIAC,MIAC,MIAC,4.4449,5.5551,4.4449,5.5551,4.4449,4.5551,49.70716511,122.746,52.73651138,0.072040241,0,0,0,0,-0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIAC,5.9599,4.0401,5.9599,4.0401,5.9599,3.0401,56.41022425,76.6278,54.03405788,0.116720359,0.0086,0.0277,0.0363,2e-4,9e-4,0,0.0278,0.0055,8e-4,3e-4,0,0,0.062421463,0.037407054,0.038094239,0.401752014,0.04011493,0.372920917,0.066810263
Hampden-Sydney,31.729467790942877,0.794731581683414,Washington and Lee,18.98500905471341,0.20526841831658602,12.744458736229468,50.714476845656286,4.890198229160738,ODAC,ODAC,ODAC,9.0012,0.9988,9.0012,0.9988,7.0012,0.9988,68.26476347,20.8117,55.26377526,0.541500401,0.3228,0.4467,0.7695,0.2399,0.0969,0.1882,0.7657,0.3115,0.0837,0.0197,0.0027,2e-4,0.664646193,0,0.69122807,0.571787149,0.638080909,0.63647622,0.322504343,ODAC,5.6355,4.3645,5.6355,4.3645,5.6355,2.3645,53.48095008,96.7673,52.03827085,0.179991027,0.0153,0,0.0153,0,-0.0779,0.7524,0.0055,5e-4,2e-4,0,0,0,0.065948276,0.015375339,0,0.019483,0.01550152,0.015580448,0.023390919
Centre,29.08607655054879,0.6629939290340581,Millsaps,22.67216435869109,0.337006070965942,6.413912191857698,51.75824090923988,2.6945517407519333,SAA,SAA,SAA,4.6207,5.3793,4.6207,5.3793,3.6207,3.3793,52.67439181,103.1502,56.57882706,0.269711019,0.0266,8e-4,0.0274,0,7e-4,0,0.0154,0.0029,8e-4,1e-4,0,0,0.029347816,0.076265189,0.029757808,0.166798884,0.127847307,0.029507986,0.028583672,SAA,4.4309,5.5691,4.4309,5.5691,2.4309,4.5691,49.78761881,122.5886,52.55176174,0.129267715,0.0025,0.0021,0.0046,0,-1e-4,0,0.003,3e-4,0,0,0,0,0.015460917,0.005932804,0.024545571,0.064033646,0.008230274,0.072796759,0.006754772
Pacific,18.366204769877044,0.3704349451917273,Whitworth,23.44072997372634,0.6295650548082726,-5.074525203849298,41.806934743603385,1.54807030169078,NWC,NWC,NWC,4.5739,5.4261,4.5739,5.4261,4.5739,3.4261,46.17618431,147.6178,45.7162676,0.074043972,0.0214,0,0.0214,0,4e-4,0,0.0059,8e-4,3e-4,0,0,0,0.046462462,0.332166608,0.038509656,0.021332367,0.024263892,0.028669659,0.050191376,NWC,5.5883,4.4117,5.5883,3.4117,4.5883,2.4117,52.835436,101.9607,47.36592148,0.111539289,0.0521,0,0.0521,0,-0.003,0,0.0245,0.0033,0.0012,2e-4,0,0,0.05218988,0.04085432,0.513084936,0.075091401,0.061324715,0.052010887,0.043915234
Trine,19.869086339146726,0.14421661750202314,Hope,36.35173095401806,0.8557833824979768,-16.482644614871333,56.220817293164785,1.2837230352149618,MIAA,MIAA,MIAA,5.8478,4.1522,5.8478,4.1522,3.8478,3.1522,55.40276718,83.7651,53.93820767,0.135689437,0.0304,0.0233,0.0537,1e-4,0.0223,0,0.0319,0.0045,0.001,5e-4,1e-4,0,0.234357105,0,0.057880266,0.086261442,0.290132587,0.121544114,0.060593952,MIAA,8.4207,1.5793,8.4207,1.5793,5.4207,1.5793,64.83252925,29.9525,53.80507384,0.279888334,0.0504,0.5727,0.6231,2e-4,-0.2007,0,0.6005,0.2655,0.0726,0.0203,0.0051,8e-4,0.589630318,0,0.589449479,0.641133493,0.582315597,0.623730477,0.558107656
Adrian,34.647602421709244,0.7202454616650452,Albion,25.188291647777103,0.27975453833495473,9.459310773932142,59.83589406948634,0.5301701582839957,MIAA,MIAA,MIAA,7.2258,2.7742,6.2258,2.7742,4.2258,2.7742,56.63053384,78.7226,50.30769071,0.244397921,0.0607,0.0929,0.1536,0.0176,0.0404,0,0.1511,0.0421,0.0095,0.0015,1e-4,0,0.192907146,0,0.203533051,0.413304294,0.168264484,0.206237904,0.418708626,MIAA,4.7035,5.2965,4.7035,5.2965,2.7035,4.2965,49.81020658,123.2276,51.60140405,0.127738214,0.0065,0,0.0065,0,-0.0169,0,0.0021,0,0,0,0,0,0.019645941,0,0.065195258,0.008601547,0.045784372,0.007559018,0.009687168
Shenandoah,24.672894150795024,0.5693890856928319,Bridgewater,22.08242766887936,0.43061091430716825,2.590466481915662,46.755321819674386,-0.06480516930744962,ODAC,ODAC,ODAC,6.7182,3.2818,6.7182,3.2818,4.7182,3.2818,55.29100257,84.2727,48.26070572,0.136955381,0.0044,0.0157,0.0201,0,-0.0019,0.3953,0.0188,0.0022,2e-4,0,0,0,0.036479129,0.021821735,0.022942586,0.02056266,0.257692308,0.0207516,0.05810928,ODAC,4.623,5.377,4.623,5.377,4.623,3.377,49.42763008,126.0345,51.74247538,0.143790699,0.0012,0,0.0012,0,-0.0017,0.339,1e-4,0,0,0,0,0,0.002672606,0.001281093,0.001228879,0.005589194,0,0.010743062,0.001284247
Belhaven,23.15904182047832,0.4884950502985202,Brevard,23.7066128277207,0.5115049497014797,-0.5475710072423823,46.86565464819902,-0.8422736706391323,USAC,USAC,USAC,5.0017,4.9983,5.0017,4.9983,4.0017,2.9983,51.42912287,111.5421,52.87000602,0.097828182,0.1087,0,0.1087,0,-0.006,0,0.0189,5e-4,1e-4,0,0,0,0.154670121,0.139240905,0.095925624,0.101815776,0.117005998,0.206107397,0.298155517,USAC,6.2753,3.7247,5.2753,2.7247,4.2753,2.7247,55.63682577,84.9946,48.48177259,0.11117235,0.1407,0.0316,0.1723,0.011,-0.0127,0,0.0891,0.0139,9e-4,0,0,0,0.237949434,0.160297207,0.276159251,0.158688913,0.384929241,0.159765211,0.20639976300000001
UW-Platteville,43.13652186394987,0.9741907650452852,UW-Stevens Point,12.521630898550109,0.025809234954714644,30.614890965399766,55.65815276249998,-0.9867679714155528,WIAC,WIAC,WIAC,8.019,1.981,8.019,1.981,5.019,1.981,69.91735436,17.5857,62.15846961,1.323578385,0.2312,0.635,0.8662,0.3307,-0.0043,0.0448,0.8538,0.6811,0.467,0.2688,0.1406,0.0663,0.413031614,0.190252651,0.231076731,0.18329268,0.294019507,0.368886181,0.370903503,WIAC,4.0806,5.9194,4.0806,5.9194,1.0806,5.9194,51.56949354,110.601,59.05743103,0.141273107,1e-4,0.003,0.0031,0,-0.0012,0.0303,0.0026,6e-4,0,0,0,0,0.054955459,0.034407272,0.033849409,0.012739884,0.004831671,0.023554752,0.027570288
North Park,24.561299584895927,0.4150561552008631,Augustana,27.770427377912355,0.5849438447991367,-3.209127793016428,52.33172696280828,-1.6369892504485242,CCIW,CCIW,CCIW,3.5747,6.4253,3.5747,6.4253,2.5747,6.4253,46.12990042,148.2856,51.99531143,0.069977165,0,0,0,0,0,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,CCIW,5.0549,4.9451,5.0549,4.9451,4.0549,4.9451,51.70282048,109.4594,52.28229079,0.091585383,0,0.0026,0.0026,0,-2e-4,0.0437,0.001,0,0,0,0,0,0.004667864,0.002893712,0.005139356,-0.00260026,0.007874016,0.004043546,0.021630616
Chapman,29.813235511771193,0.8234799693281766,Redlands,15.468599065398248,0.1765200306718233,14.344636446372945,45.28183457716944,-2.452172915642155,SCIAC,SCIAC,SCIAC,6.1923,3.8077,6.1923,3.8077,6.1923,1.8077,55.10253099,86.8431,52.79814159,0.158186637,0.5692,0,0.5692,0,0.0537,0,0.2213,0.0355,0.0093,0.002,3e-4,0,0.316537053,0.444526037,0.438622229,0.327508182,0.485478476,0.348268055,0.553145516,SCIAC,4.676,4.538,4.676,4.538,2.676,4.538,50.53849629,117.7512,50.66288332,0.131559107,0.0226,7e-4,0.0233,0,-0.0984,0,0.0102,0.0013,1e-4,0,0,0,0.10585212,0.05284554,0.045283891,0.055827647,0.025048377,0.043483345,0.351926407
St. John Fisher,12.617192028070239,0.17206374107868092,Brockport,27.19911165077153,0.8279362589213192,-14.581919622701292,39.81630367884177,-3.220932477859794,E8,E8,E8,5.5553,4.4447,5.5553,4.4447,3.5553,3.4447,51.47360982,110.7907,48.78323645,0.077642927,0.006,0,0.006,0,0.0021,0,0.0016,0,0,0,0,0,0.035316668,0.006570302,0,0.114428181,0.028686559,0.008387065,0.007885562,E8,7.5526,2.4474,7.5526,2.4474,5.5526,1.4474,60.63715813,51.8371,51.48985851,0.24259449,0.2015,0.0094,0.2109,5e-4,-0.0102,0,0.1741,0.0615,0.0144,0.0035,4e-4,2e-4,0.138847138,0,0.167353179,0.149352267,0.123785932,0.719397532,0.255423316
Merchant Marine,26.78746833661469,0.6739343803411628,MIT,19.922762524267025,0.3260656196588372,6.864705812347665,46.710230860881715,-3.912997980114059,NEWMAC,NEWMAC,NEWMAC,6.6212,2.3788,6.6212,2.3788,4.6212,2.3788,59.82383823,58.1444,51.11922195,0.212986981,0.0652,0.1795,0.2447,0.0224,0.0994,0.2431,0.2344,0.0336,0.0034,5e-4,1e-4,0,0.32531078,0.291564224,0.384637693,0.49775324,0,0.254086868,0.336662786,NEWMAC,5.8003,3.1997,5.8003,3.1997,3.8003,3.1997,55.0361228,87.1876,49.94117124,0.181354114,0.0035,0.0697,0.0732,0,-0.0828,0.1891,0.0599,0.0056,2e-4,1e-4,0,0,0.215738285,0,0.152035857,0.12688507500000001,0.085269993,0.12137103,0.076705439
Trinity Conn.,26.302210370200427,0.7522650970906978,Tufts,15.615872047458858,0.24773490290930233,10.68633832274157,41.918082417659285,-5.493952696631209,NESCAC,NESCAC,NESCAC,6.3355,2.6645,6.3355,2.6645,6.3355,2.6645,58.4167573,65.2635,50.20809583,0.246911978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NESCAC,5.1371,3.8629,5.1371,3.8629,5.1371,3.8629,53.05868672,99.8724,49.88267242,0.179926319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNY-Maritime,37.915348995161835,0.39613969570807794,Coast Guard,42.13833739663198,0.6038603042919221,-4.222988401470147,80.05368639179382,-6.393445729680306,NEWMAC,NEWMAC,NEWMAC,4.5997,5.4003,4.5997,5.4003,2.5997,4.4003,49.69727465,123.905,51.50812383,0.091918139,0.003,2e-4,0.0032,0,-0.0133,0.057,5e-4,0,0,0,0,0,0.006924485,0.013357289,0.003552792,0.004743855,0,0.007147407,0.102564103,NEWMAC,4.8209,4.1791,4.8209,4.1791,3.8209,3.1791,53.98425683,94.4209,53.64078267,0.17220877,0.0209,0.0297,0.0506,4e-4,0.0226,0.2101,0.0237,0.0016,0,0,0,0,0.075159853,0,0.083323144,0.051234193,0.111027297,0.396524463,0.124185492
Muskingum,32.9875635208623,0.685905604471474,Franklin,25.556799638849846,0.31409439552852597,7.430763882012457,58.54436315971215,-6.39516065203776,OAC,HCAC,OAC,4.6109,5.3891,4.6109,5.3891,3.9063,4.0937,49.77356123,123.3251,52.22078812,0.143118044,0.0013,0.0051,0.0064,1e-4,0.0015,0.1401,0.0037,6e-4,1e-4,0,0,0,0.006680925,0.015530128,0.027923855,0.012730644,0.036582745,0.009736802,0.210351903,HCAC,4.7542,5.2458,4.7542,5.2458,3.4588,2.5412,48.55751771,131.8664,49.51364664,0.103273336,0.0412,0,0.0412,0,-7e-4,0.1233,0.0063,3e-4,0,0,0,0,0.021281564,0.060383986,0.041319827,0.181055552,0.03596861,0.050884538,0.265951401
Sewanee,14.452622321495454,0.11975909070867925,Maryville Tenn.,32.93625889939933,0.8802409092913206,-18.483636577903873,47.38888122089478,-6.409526287182182,SAA,SAA,SAA,3.6524,6.3476,3.6524,6.3476,1.6524,5.3476,46.39381487,146.7024,51.87714372,0.112537144,0.0012,1e-4,0.0013,0,0,0,2e-4,1e-4,0,0,0,0,0.008837612,0.003662359,0.024039639,0.002222982,0.017141888,0.003780091,0.00315459,SAA,7.8771,2.1229,6.8771,2.1229,4.8771,2.1229,62.75400532,43.3925,53.43749826,0.341880128,0.1445,0.2086,0.3531,0.0677,-0.0475,0,0.3369,0.1514,0.0446,0.0107,0.0022,7e-4,0.296418826,0.368981775,0.319022218,0.335486492,0.329656357,0.522627388,0.544576083
Bates,17.716119404478626,0.4663358441450499,Colby,18.875609625180132,0.5336641558549503,-1.1594902207015068,36.59172902965876,-7.162346741944056,NESCAC,NESCAC,NESCAC,3.1177,5.8823,3.1177,5.8823,3.1177,5.8823,43.96407869,162.2558,50.41916789,0.112369205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NESCAC,3.8987,5.1013,3.8987,5.1013,3.8987,5.1013,47.40763961,138.8719,50.31283468,0.185748341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlebury,27.133971697318884,0.7250719256498378,Amherst,17.98768788600797,0.27492807435016214,9.146283811310916,45.12165958332685,-7.239165616908465,NESCAC,NESCAC,NESCAC,5.6206,3.3794,5.6206,3.3794,5.6206,3.3794,55.19027929,85.6602,49.99040719,0.149301803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NESCAC,4.103,4.897,4.103,4.897,4.103,4.897,48.59739051,130.631,50.31418274,0.152926268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
